transaction_amount,transaction_datetime,is_scam,recipient_name,sender_name,message
951.21,2023-01-03 15:20:38,0,Ariel Hanson,Matthew Newton,Thank you for your recent transaction. Your account balance is updated.
108.98,2023-01-03 15:52:35,0,Melanie Ortiz,April Collier,Thank you for your recent transaction. Your account balance is updated.
654.38,2023-01-05 09:23:43,0,Whitney Duran,Samantha Gregory,Thank you for your recent transaction. Your account balance is updated.
10.77,2023-01-04 12:32:11,0,Tina Levy,Karen Mcdonald,Thank you for your recent transaction. Your account balance is updated.
17.0,2023-01-01 08:26:58,0,Judy Bishop,Tara Roberts,Thank you for your recent transaction. Your account balance is updated.
56.2,2023-01-04 10:43:54,0,Jeff Richardson,Emily Moore,Thank you for your recent transaction. Your account balance is updated.
2360.48,2023-01-06 10:06:20,1,Thomas Mcfarland,Michelle Roberts,Mouth game daughter culture stock company pass heart. Urgent action required!
23.13,2023-01-01 09:57:08,0,Melissa Chapman,Brittany Garcia,Thank you for your recent transaction. Your account balance is updated.
238.58,2023-01-04 14:43:07,0,Brittany Hahn,Tracy Lopez,Thank you for your recent transaction. Your account balance is updated.
910.23,2023-01-04 09:39:03,0,Catherine Young,Brianna Boyd,Thank you for your recent transaction. Your account balance is updated.
524.87,2023-01-02 11:53:28,0,Lisa Kirby,Nicole Medina,Thank you for your recent transaction. Your account balance is updated.
3886.91,2023-01-02 17:35:13,1,Douglas Ramirez,John Watkins,Billion key son suffer however. Urgent action required!
333.28,2023-01-04 16:39:20,0,Matthew Malone,Thomas Madden,Thank you for your recent transaction. Your account balance is updated.
278.64,2023-01-05 15:25:24,0,Michael Meyer,Nicholas Ross,Thank you for your recent transaction. Your account balance is updated.
547.27,2023-01-01 08:24:06,0,Sheryl Murphy,Mary Mayer,Thank you for your recent transaction. Your account balance is updated.
400.93,2023-01-03 10:16:07,0,Felicia Chen,Michael Barnes,Thank you for your recent transaction. Your account balance is updated.
773.56,2023-01-05 17:38:57,0,Stephanie Watson,Kendra Skinner,Thank you for your recent transaction. Your account balance is updated.
864.47,2023-01-04 09:32:47,0,Calvin West,Rebecca Wall,Thank you for your recent transaction. Your account balance is updated.
672.15,2023-01-06 10:43:39,0,Michael Rasmussen,Susan Matthews,Thank you for your recent transaction. Your account balance is updated.
565.63,2023-01-03 12:46:13,0,Amy Price,Erika Cortez,Thank you for your recent transaction. Your account balance is updated.
724.51,2023-01-06 14:26:08,0,Miranda Steele,Patricia Bell,Thank you for your recent transaction. Your account balance is updated.
119.78,2023-01-04 10:31:38,0,Benjamin Greer,Teresa Combs,Thank you for your recent transaction. Your account balance is updated.
567.64,2023-01-04 12:22:38,0,Dustin Watson,Marisa Smith,Thank you for your recent transaction. Your account balance is updated.
758.0,2023-01-04 14:58:50,0,Kenneth Nelson,Bridget Hoffman,Thank you for your recent transaction. Your account balance is updated.
930.4,2023-01-06 16:52:05,0,Todd Miller,Harold Bryan,Thank you for your recent transaction. Your account balance is updated.
226.26,2023-01-04 17:54:27,0,Chelsea Reeves,Michelle Allen,Thank you for your recent transaction. Your account balance is updated.
907.76,2023-01-01 16:26:56,0,Austin Young,Andrew Garcia,Thank you for your recent transaction. Your account balance is updated.
862.12,2023-01-03 16:36:32,0,Rebekah Price,John Nguyen,Thank you for your recent transaction. Your account balance is updated.
344.24,2023-01-06 18:53:31,0,Seth Giles,Meagan Black,Thank you for your recent transaction. Your account balance is updated.
705.99,2023-01-01 08:57:51,0,Terrance Jackson,Paul Mcdowell,Thank you for your recent transaction. Your account balance is updated.
699.34,2023-01-06 08:36:48,0,Keith Short,Heather Mitchell,Thank you for your recent transaction. Your account balance is updated.
1370.57,2023-01-02 09:27:53,1,Rebecca Nelson,Kerry Anderson,North pull card. Urgent action required!
351.62,2023-01-01 10:01:52,0,Gene Lucas,Breanna Lopez,Thank you for your recent transaction. Your account balance is updated.
985.79,2023-01-07 14:03:54,0,Rodney Davis,Christopher Blake,Thank you for your recent transaction. Your account balance is updated.
245.26,2023-01-05 11:33:05,0,Lauren Chambers,Eric Peterson,Thank you for your recent transaction. Your account balance is updated.
