transaction_amount,transaction_datetime,is_scam_prob,scam_possibility,recipient_name,sender_name,message
951.21,2023-01-03 15:20:38,0.3745401188473625,Low,Michele Davenport,Victoria Bennett,Thank you for your recent transaction. Your account balance is updated.
108.98,2023-01-03 15:52:35,0.44583275285359114,Low,Courtney Alvarez,Kara Morrow,Thank you for your recent transaction. Your account balance is updated.
654.38,2023-01-05 09:23:43,0.14286681792194078,Low,Anthony Hardin,William Reed,Thank you for your recent transaction. Your account balance is updated.
53.85,2023-01-04 12:32:11,0.9385527090157502,Highest,Joanna Shepherd,Thomas West,Center meeting million machine. Urgent action required!
84.98,2023-01-01 08:26:58,0.6116531604882809,Moderate,Justin Guerra,Micheal Harris,Case meet improve know dog cost down. Urgent action required!
56.2,2023-01-04 10:43:54,0.3998609717152555,Low,Nicholas Gonzales,Felicia Hancock,Thank you for your recent transaction. Your account balance is updated.
2360.48,2023-01-06 10:06:20,0.9832308858067882,Highest,Clinton Pacheco,Nicholas Chapman,Buy no generation father manage official. Urgent action required!
23.13,2023-01-01 09:57:08,0.450499251969543,Low,Catherine Hall,Tracy Jones,Thank you for your recent transaction. Your account balance is updated.
238.58,2023-01-04 14:43:07,0.015966252220214194,Low,Sarah Carpenter,Belinda Paul,Thank you for your recent transaction. Your account balance is updated.
910.23,2023-01-04 09:39:03,0.034388521115218396,Low,Nicholas Collins,Michael Edwards,Thank you for your recent transaction. Your account balance is updated.
524.87,2023-01-02 11:53:28,0.31171107608941095,Low,Deanna Juarez,Lisa Kane,Thank you for your recent transaction. Your account balance is updated.
3886.91,2023-01-02 17:35:13,0.9695846277645586,Highest,Mary Smith,Oscar Mayo,Coach family outside fill man base. Urgent action required!
1666.38,2023-01-04 16:39:20,0.7272719958564209,Moderate,Dominique Ferguson,Jonathan Mcdowell,Bag among organization firm audience training learn. Urgent action required!
278.64,2023-01-05 15:25:24,0.388677289689482,Low,Ryan Robinson,Robert Le,Thank you for your recent transaction. Your account balance is updated.
